ID,NOMBREAPELLIDO,CODIGOCIUDAD,FECHAINGRESO,TELEFONO,CORREO,CARRERA
676,ICEL,1,10/21/2016,3100798,icel@gmail.co,Ingenieria química
677,OSNAR,5,12/15/2019,3646954,osnar@gmail.com,Estadística
678,LUZCENNY,15,3/3/2020,3663688,luzcenny@outlook.com,Geología 
679,CALETH,15,11/15/2021,3364573,caleth@outlook.co,Estadística
680,SART,2,10/21/2017,2645649,sart@hotmail.com,Ingenieria electrónica
681,YEFERSSON,1,2/4/2022,3562461,yefersson@hotmail.co,Administración de empresas
682,EMPERATRIZAURORA,12,11/6/2018,3181110,emperatrizaurora@gmail.co,Ingeniería eléctrica
683,YADIASIS,2,11/30/2021,3123342,yadiasis@gmail.com,Ingeniería eléctrica
684,GESSETH,5,1/16/2018,2767023,gesseth@outlook.com,Ingeniería Industrial
685,ROMALDO,1,6/17/2021,2974690,romaldo@outlook.co,Ingeniería eléctrica
686,NALSI,2,11/19/2016,2598916,nalsi@hotmail.com,Geología 
687,JEYSY,1,7/12/2023,3553741,jeysy@hotmail.co,Ingeniería Industrial
688,MAYANT,1,2/18/2023,2875580,mayant@gmail.co,Ingenieria química
689,HAIMETH,2,6/2/2022,3501038,haimeth@gmail.com,Ingeniería Industrial
690,SHUSKING,1,10/11/2016,3610818,shusking@outlook.com,Ingenieria química
691,RUBELINA,6,6/5/2017,3494798,rubelina@hotmail.com,Ingeniería Industrial
692,YANURIA,5,5/25/2022,3465946,yanuria@hotmail.co,Ingeniería de sistemas
693,ANGELBER,5,4/20/2023,2687261,angelber@gmail.co,Ingeniería de sistemas
694,SIBELLYS,15,7/2/2019,2593017,sibellys@gmail.com,Matemáticas
695,ROBIZON,10,9/28/2021,3324385,robizon@outlook.com,Ingenieria química
696,MEQUICEDED,2,4/27/2018,3715401,mequiceded@outlook.co,Ciencia política
697,DOREYS,10,7/12/2020,3506579,doreys@hotmail.com,Ingeniería de sistemas
698,PAOLAA,2,4/12/2016,3042284,paolaa@hotmail.co,Matemáticas
699,ALRONAL,4,3/3/2017,2943965,alronal@gmail.co,Ingenieria electrónica
700,NICOHLE,4,12/26/2022,2754233,nicohle@gmail.com,Estadística
701,MARILINS,2,7/17/2018,2919797,marilins@outlook.com,Administración de empresas
702,YIZETHD,12,1/30/2023,2995116,yizethd@outlook.co,Ingenieria química
703,BREATRIZ,1,9/30/2018,2863564,breatriz@hotmail.com,Matemáticas
704,ARGIMERO,5,2/6/2023,3725108,argimero@hotmail.co,Ingenieria electrónica
705,MAZLY,2,2/9/2021,2620801,mazly@gmail.co,Ingeniería de sistemas
706,ELIOUTH,12,7/10/2018,3330690,eliouth@gmail.com,Ingenieria química
707,DUVERLYS,1,12/20/2022,3028095,duverlys@outlook.com,Administración de empresas
708,RUBENSORIS,2,5/18/2019,2865519,rubensoris@outlook.co,Ingeniería de sistemas
709,ADICHEL,8,1/5/2022,2728582,adichel@hotmail.com,Ingeniería Industrial
710,AVELIO,14,7/16/2018,3771797,avelio@hotmail.co,Matemáticas
711,EUDENYS,7,8/7/2017,2719642,eudenys@gmail.co,Geología 
712,ORLETHE,12,9/14/2021,2996657,orlethe@gmail.com,Ingenieria química
713,GALLEGOS,1,6/8/2016,3452483,gallegos@outlook.com,Geología 
714,IOANNA,2,2/11/2018,3199911,ioanna@hotmail.com,Matemáticas
715,BEYSON,7,8/12/2017,2970074,beyson@hotmail.co,Estadística
716,OZMANNY,15,5/31/2021,3730223,ozmanny@gmail.co,Ingenieria electrónica
717,NHARA,5,12/23/2018,3304519,nhara@gmail.com,Ingeniería Industrial
718,DANGER,5,2/10/2017,3157056,danger@outlook.com,Matemáticas
719,JUEMILY,5,1/16/2018,3305940,juemily@outlook.co,Ingeniería Industrial
720,NINON,1,3/16/2023,2895607,ninon@hotmail.com,Administración de empresas
721,JESNELS,5,3/8/2017,3814185,jesnels@hotmail.co,Ingeniería Industrial
722,ANWART,10,3/17/2020,3305433,anwart@gmail.co,Ingeniería eléctrica
723,BRYITH,1,2/20/2022,2778071,bryith@gmail.com,Administración de empresas
724,YELISSE,7,6/20/2018,3617122,yelisse@outlook.com,Ingeniería Industrial
725,ILNIRIDA,14,11/2/2022,3664682,ilnirida@outlook.co,Ingenieria electrónica
726,ALDIER,12,9/22/2018,3866894,aldier@hotmail.com,Ingeniería eléctrica
727,AMALTY,5,12/25/2021,3872947,amalty@hotmail.co,Matemáticas
728,ENILSO,2,10/29/2020,3358962,enilso@gmail.co,Ingeniería Industrial
729,ESTATIRA,15,8/29/2019,2680407,estatira@gmail.com,Estadística
730,MADELCIA,5,1/13/2021,3675050,madelcia@outlook.com,Estadística
731,JHAMYR,14,9/2/2021,3347381,jhamyr@outlook.co,Ingenieria química
732,FROINILDA,8,11/24/2018,3584549,froinilda@hotmail.com,Ingeniería de sistemas
733,GAHEN,6,6/27/2017,3695807,gahen@hotmail.co,Ciencia política
734,GEIDIE,5,7/31/2017,3151359,geidie@gmail.co,Ingeniería de sistemas
735,ROCENDO,1,11/10/2022,3696494,rocendo@gmail.com,Ingeniería eléctrica
736,JANNAYDETH,5,11/29/2021,2674475,jannaydeth@outlook.com,Geología 
737,MILLARLEY,14,6/4/2022,3188798,millarley@hotmail.com,Matemáticas
738,MARYORI,2,4/15/2023,3862964,maryori@hotmail.co,Ingeniería de sistemas
739,NEMOROSO,7,1/10/2017,3816978,nemoroso@gmail.co,Ingeniería de sistemas
740,STHEFANY,15,6/3/2021,3567125,sthefany@gmail.com,Ingeniería eléctrica
741,GILIANTE,2,1/11/2023,3714009,giliante@outlook.com,Matemáticas
742,ARNEIDYS,10,4/16/2021,3749186,arneidys@outlook.co,Geología 
743,LADERA,2,3/31/2023,2949686,ladera@hotmail.com,Geología 
744,FREDISLANDO,2,12/28/2019,3155836,fredislando@hotmail.co,Ingeniería Industrial
745,JULEED,2,3/18/2019,2968766,juleed@gmail.co,Matemáticas
746,SURIDES,12,5/8/2016,3716368,surides@gmail.com,Ingeniería Industrial
747,CATARINE,4,3/18/2019,3356549,catarine@outlook.com,Ingeniería de sistemas
748,KEOPASTY,5,7/28/2023,3074451,keopasty@.co,Geología 
749,YESSITH,1,9/17/2016,3784239,yessith@hotmail.com,Ingeniería eléctrica
750,YAMPIERO,1,7/22/2021,3583576,yampiero@hotmail.co,Ingeniería eléctrica
751,ALGARO,14,null,3252901,algaro@gmail.co,Matemáticas
752,JEEYMY,12,7/3/2019,2842105,jeeymy@gmail.com,Ingeniería de sistemas
753,DIARLEYS,4,7/12/2018,3362371,diarleys@outlook.com,Geología 
754,GRAHAM,5,6/20/2022,2996191,graham@outlook.co,Ingeniería de sistemas
755,ZAWADY,5,4/10/2018,2843490,zawady@hotmail.com,Ingeniería eléctrica
756,BERNELYS,1,4/4/2017,3376601,bernelys@hotmail.co,Ingenieria electrónica
757,CREOTILDE,15,7/30/2019,3356169,creotilde@gmail.co,Ciencia política
758,LAWRY,14,3/18/2019,2775621,lawry@gmail.com,Ingenieria electrónica
759,JANIS,5,6/17/2018,3681358,janis@outlook.com,Geología 
760,YERSON,2,7/23/2020,3643134,yerson@hotmail.com,Ingeniería de sistemas
761,ZAILETH,12,5/19/2020,2580519,zaileth@hotmail.co,Ingenieria electrónica
762,CARLOMAR,7,3/13/2019,3306618,carlomar@gmail.co,Ciencia política
763,ADELMAIRA,14,1/14/2022,2745818,adelmaira@gmail.com,Ingeniería Industrial
764,YANEIS,15,3/25/2016,3260360,yaneis@outlook.com,Ingeniería de sistemas
765,DUBOY,15,7/2/2021,3055091,duboy@outlook.co,Ciencia política
766,YANELEIDY,5,3/31/2018,3700804,yaneleidy@hotmail.com,Ingeniería de sistemas
767,RIQUET,10,12/18/2021,3458979,riquet@hotmail.co,Ingeniería eléctrica
768,KHAROOL,7,10/24/2019,3106209,kharool@gmail.co,Matemáticas
769,IRAMIS,2,6/19/2018,3002388,iramis@gmail.com,Estadística
770,IBEH,12,2/7/2018,2991387,ibeh@outlook.com,Ingeniería eléctrica
771,JERSER,10,10/24/2021,2860180,jerser@outlook.co,Ingenieria química
772,CHAROLD,1,11/11/2017,3287173,charold@hotmail.com,Estadística
773,VINASCO,14,12/26/2020,3695659,vinasco@hotmail.co,Ingeniería eléctrica
774,MYUNGSUK,12,3/30/2018,3244705,myungsuk@gmail.co,Ingeniería Industrial
775,YABAN,1,3/20/2018,null,yaban@gmail.com,Ingeniería de sistemas
776,ALDEIBER,1,4/4/2018,2948958,aldeiber@outlook.com,Ingenieria electrónica
777,TULANDE,4,10/16/2018,3773653,tulande@outlook.co,Ingeniería eléctrica
778,ILDEN,8,4/30/2019,3274995,ilden@hotmail.com,Matemáticas
779,IDEMA,15,9/9/2019,3896840,idema@hotmail.co,Ingenieria electrónica
780,ABIMELECK,7,5/4/2022,3295933,abimeleck@gmail.co,Estadística
781,CRISTIQN,2,1/10/2021,3790819,cristiqn@gmail.com,Administración de empresas
782,OCDOCIA,14,6/29/2022,3391063,ocdocia@outlook.com,Ingenieria química
783,BETZANDREINA,14,12/31/2022,3411093,betzandreina@hotmail.com,Ingeniería eléctrica
784,GREYZLEEN,7,5/29/2021,3354741,greyzleen@hotmail.co,Geología 
785,JHEOVANA,1,11/27/2020,2580026,jheovana@gmail.co,Ingeniería Industrial
786,LIZDI,7,10/15/2017,3313863,lizdi@gmail.com,Ingenieria electrónica
787,JOHISNER,8,6/20/2017,3874641,johisner@outlook.com,Estadística
788,YOYN,14,3/2/2021,2822265,yoyn@outlook.co,Ingenieria electrónica
789,LORBEY,8,12/7/2018,2776538,lorbey@hotmail.com,Ingeniería eléctrica
790,JHONNAYRO,5,9/26/2018,3199505,jhonnayro@hotmail.co,Ciencia política
791,ABIECER,5,8/3/2020,3573044,abiecer@gmail.co,Estadística
792,SUZEL,12,12/12/2022,3430432,suzel@gmail.com,Ingenieria química
793,ROSCIRIS,5,5/29/2019,2922846,rosciris@outlook.com,Ingenieria electrónica
794,LARCHI,1,6/9/2021,2587409,larchi@outlook.co,Ciencia política
795,CLARILAYS,5,6/16/2017,3819206,clarilays@hotmail.com,Ciencia política
796,MAIDELIS,2,12/6/2022,3846546,maidelis@hotmail.co,Ingenieria química
797,JEIFHER,1,8/11/2020,3298069,jeifher@gmail.co,Geología 
798,MILDRY,5,1/29/2017,2902759,mildry@gmail.com,Estadística
799,SULLAY,4,12/5/2020,2656164,sullay@outlook.com,Ingeniería de sistemas
800,MARIANEL,5,4/27/2019,2985277,marianel@outlook.co,Ingeniería de sistemas
801,NAHAN,5,10/31/2017,2802581,nahan@hotmail.com,Ingeniería Industrial
802,EGCEMANI,1,3/14/2022,3896551,egcemani@hotmail.co,Administración de empresas
803,GABRIELE,14,9/13/2018,3321092,gabriele@gmail.co,Ingeniería Industrial
804,YOAMIR,5,4/11/2022,3054441,yoamir@gmail.com,Ingeniería de sistemas
805,NIDA,2,5/1/2022,2714626,nida@outlook.com,Ingeniería de sistemas
806,PIPI,1,5/6/2021,2615769,pipi@hotmail.com,Ingeniería Industrial
807,YAJADIS,1,1/7/2023,3180505,yajadis@hotmail.co,Ingenieria química
808,OSULAY,12,3/21/2022,26_26,osulay@gmail.co,Ingeniería Industrial
809,FRACY,2,5/13/2023,3072291,fracy@gmail.com,Estadística
810,BRYTON,12,3/26/2016,3010700,bryton@outlook.com,Matemáticas
811,NIRIAM,8,5/19/2017,3285997,niriam@outlook.co,Estadística
812,MARLONHT,1,12/31/2017,3023463,marlonht@hotmail.com,Ingenieria química
813,SAMMYEY,1,6/14/2023,3338876,sammyey@hotmail.co,Geología 
814,DINIS,12,10/28/2019,3020175,dinis@gmail.co,Ingeniería Industrial
815,MARCILIA,1,1/16/2021,3899807,marcilia@gmail.com,Ciencia política
816,CARMELO,5,7/19/2016,3094873,carmelo@outlook.com,Ciencia política
817,HEDIN,1,2/20/2022,3912593,hedin@outlook.co,Ciencia política
818,LUZDELSA,4,5/5/2016,3107407,luzdelsa@hotmail.com,Ingeniería de sistemas
819,CLERTH,5,1/9/2021,3912171,clerth@hotmail.co,Geología 
820,URIELA,7,6/3/2019,3052787,uriela@gmail.co,Ingeniería de sistemas
821,ALBIZ,2,1/3/2019,3839994,albiz@gmail.com,Estadística
822,NEIFI,5,8/19/2022,3578804,neifi@outlook.com,Ingenieria química
823,ONEI,2,5/17/2020,2910000,onei@outlook.co,Ingeniería de sistemas
824,REINALDINA,2,6/11/2023,3405648,reinaldina@hotmail.com,Matemáticas
825,KARINET,5,5/3/2018,3267780,karinet@hotmail.co,Ingeniería eléctrica
826,DOLCA,14,12/18/2022,3506881,dolca@gmail.co,Ingenieria química
827,JOSEGIL,2,7/23/2017,3609919,josegil@gmail.com,Administración de empresas
828,ALCIRO,7,5/19/2019,2761191,alciro@outlook.com,Geología 
829,JOHEMI,6,1/12/2017,3749956,johemi@hotmail.com,Ingenieria electrónica
830,JUSTINIANA,1,1/20/2019,3585047,justiniana@hotmail.co,Administración de empresas
831,CRETEL,1,10/23/2018,3160002,cretel@gmail.co,Ingenieria electrónica
832,KAYRIN,5,12/31/2018,2664127,kayrin@gmail.com,Ingenieria electrónica
833,NARSES,14,1/27/2019,3241826,narses@outlook.com,Estadística
834,YAIRE,6,3/2/2021,2628828,yaire@outlook.co,Ciencia política
835,KENVERLYN,12,11/25/2022,3752986,kenverlyn@hotmail.com,Administración de empresas
836,YEMILIT,14,7/22/2022,3432157,yemilit@hotmail.co,Ingeniería de sistemas
837,IDETTE,2,12/29/2020,3771100,idette@gmail.co,Ingeniería de sistemas
838,GOZALO,6,6/28/2023,3500663,gozalo@gmail.com,Ingeniería Industrial
839,YONTH,4,12/23/2021,2664448,yonth@outlook.com,Matemáticas
840,YILFREI,2,7/25/2017,3740603,yilfrei@outlook.co,Ingenieria química
841,ZAINAB,4,11/27/2020,3692217,zainab@hotmail.com,Estadística
842,ABACK,4,4/17/2016,3406436,aback@hotmail.co,Ingeniería de sistemas
843,KAILIN,10,4/12/2023,3729219,kailin@gmail.co,Ingeniería de sistemas
844,YONALETH,2,2/28/2019,2838576,yonaleth@gmail.com,Geología 
845,BERNAN,6,12/28/2020,3779773,bernan@outlook.com,Ingeniería de sistemas
846,MARDIRIS,15,6/25/2016,2802952,mardiris@outlook.co,Geología 
847,ERMEDIS,7,11/26/2020,3498854,ermedis@hotmail.com,Ingeniería Industrial
848,MARISBEL,5,4/19/2019,3732798,marisbel@hotmail.co,Ingenieria electrónica
849,AITANA,6,10/24/2019,3778909,aitana@gmail.co,Ingenieria química
850,WEVERLIN,5,7/12/2017,3013802,weverlin@gmail.com,Estadística
851,MAIYENS,5,5/1/2018,3678418,maiyens@outlook.com,Ingenieria electrónica
852,LUNETTE,12,9/14/2017,3147063,lunette@hotmail.com,Geología 
853,ARDIZZONE,6,4/4/2021,2754216,ardizzone@hotmail.co,Ingenieria electrónica
854,DOYMER,12,7/21/2018,3298775,doymer@gmail.co,Ingeniería de sistemas
855,DAILTON,8,11/24/2017,3636149,dailton@gmail.com,Matemáticas
856,RUJE,8,7/3/2019,3357753,ruje@outlook.com,Administración de empresas
857,SURIT,5,4/7/2017,3270164,surit@outlook.co,Administración de empresas
858,BERENGUER,5,4/21/2023,3025948,berenguer@hotmail.com,Ingeniería eléctrica
859,ARNUZ,5,3/21/2021,3681134,arnuz@hotmail.co,Ingeniería eléctrica
860,EHIMYS,2,11/3/2021,3290204,ehimys@gmail.co,Administración de empresas
861,EDIDTSON,14,10/5/2018,3167708,edidtson@gmail.com,Estadística
862,ELIDENZUL,8,5/8/2023,3488116,elidenzul@outlook.com,Matemáticas
863,ENGRI,10,11/16/2019,3379199,engri@outlook.co,Estadística
864,DAGUET,1,10/27/2020,2813570,daguet@hotmail.com,Geología 
865,ALIBER,2,11/30/2021,3362714,aliber@hotmail.co,Ingeniería de sistemas
866,IVERTH,8,5/4/2016,2815249,iverth@gmail.co,Ingeniería Industrial
867,BELLELA,1,11/8/2021,2913322,bellela@gmail.com,Ingenieria química
868,JHONARVI,1,9/22/2022,3518440,jhonarvi@outlook.com,Ingeniería Industrial
869,JHPN,4,12/17/2021,null,jhpn@outlook.co,Ingenieria electrónica
870,RUBI,14,6/15/2019,3832072,rubi@hotmail.com,Ingenieria química
871,NORFANI,5,7/14/2021,3611813,norfani@hotmail.co,Ingeniería eléctrica
872,ACHICUE,4,5/31/2021,3630664,achicue@gmail.co,Ingenieria electrónica
873,GENEVIS,10,12/3/2017,2998619,genevis@gmail.com,Estadística
874,LEOTILDE,14,4/10/2020,3033192,leotilde@outlook.com,Geología 
875,OSBLADO,12,6/27/2020,2870897,osblado@hotmail.com,Ingenieria química
876,OREALIX,14,10/10/2020,3333131,orealix@hotmail.co,Ingenieria química
877,KYCHENER,6,2/7/2022,3079989,kychener@gmail.co,Matemáticas
878,TAME,2,7/29/2019,3012099,tame@gmail.com,Ingenieria electrónica
879,BAETRIZ,1,10/31/2019,3106132,baetriz@outlook.com,Ciencia política
880,ROCCIA,5,8/17/2016,3137808,roccia@outlook.co,Ingeniería eléctrica
881,ESTIVELT,8,3/19/2020,3340075,estivelt@hotmail.com,Ingenieria electrónica
882,JUDBERTH,8,7/6/2018,3812511,judberth@hotmail.co,Matemáticas
883,AMIYERLAC,14,2/19/2022,3501237,amiyerlac@gmail.co,Ingeniería de sistemas
884,YERDIC,2,6/25/2016,2993571,yerdic@gmail.com,Estadística
885,DISFRANCI,15,12/29/2019,3914441,disfranci@outlook.com,Ingeniería de sistemas
886,TIRSEN,14,12/6/2017,2678564,tirsen@outlook.co,Geología 
887,GLENEIDYS,1,12/21/2022,3702365,gleneidys@hotmail.com,Ingeniería de sistemas
888,WWULTER,5,7/18/2019,3387472,wwulter@hotmail.co,Ingenieria electrónica
889,MAGLILI,7,6/15/2022,3867376,maglili@gmail.co,Matemáticas
890,DIVAIRA,2,9/13/2020,3752936,divaira@gmail.com,Administración de empresas
891,OMARLY,12,4/19/2019,3547219,omarly@outlook.com,Ingenieria química
892,EDELBI,1,2/17/2017,3816540,edelbi@outlook.co,Ingenieria química
893,NEHEMIAZ,12,10/1/2020,3595997,nehemiaz@hotmail.com,Estadística
894,ADVENIZ,6,3/12/2020,3639684,adveniz@hotmail.co,Geología 
895,ESPINILLA,1,5/31/2016,3719787,espinilla@gmail.co,Ingeniería Industrial
896,LISBELILIA,6,3/23/2023,3041477,lisbelilia@gmail.com,Ingeniería de sistemas
897,ELSOMINA,15,12/20/2020,3546426,elsomina@outlook.com,Ingeniería Industrial
898,HAYDELBER,6,7/26/2022,2773864,haydelber@hotmail.com,Ingeniería Industrial
899,ALIDAYD,5,3/7/2017,2977246,alidayd@hotmail.co,Matemáticas
900,DIVETH,10,3/28/2018,3649722,diveth@gmail.co,Administración de empresas
901,PATRIK,8,3/7/2023,2817273,patrik@gmail.com,Matemáticas
902,FRELLIN,1,10/25/2016,3655435,frellin@outlook.com,Matemáticas
903,NORELVIA,5,11/8/2020,2881069,norelvia@outlook.co,Geología 
904,AYELPIS,15,5/31/2016,3437816,ayelpis@hotmail.com,Ingenieria química
905,HISET,4,3/22/2021,2982283,hiset@hotmail.co,Ingeniería eléctrica
906,ROYNAN,7,5/22/2016,3270608,roynan@gmail.co,Ciencia política
907,WILSMER,5,7/29/2022,3434034,wilsmer@gmail.com,Ingenieria electrónica
908,HOSNORALDO,10,4/5/2019,3606422,hosnoraldo@outlook.com,Ingeniería de sistemas
909,LEIPSY,5,10/18/2017,2953580,leipsy@outlook.co,Administración de empresas
910,JAZZ,1,4/10/2018,3654087,jazz@hotmail.com,Ingeniería Industrial
911,IVAGON,12,8/9/2020,2912569,ivagon@hotmail.co,Ingeniería de sistemas
912,JAININCE,5,2/28/2022,3483403,jainince@gmail.co,Ciencia política
913,HEIBAL,6,8/21/2022,3242672,heibal@gmail.com,Ingeniería Industrial
914,NORENYS,2,11/30/2017,3745341,norenys@outlook.com,Estadística
915,EMERZO,10,3/31/2016,3546351,emerzo@outlook.co,Ciencia política
916,NANOI,15,12/13/2018,3023558,nanoi@hotmail.com,Ingeniería de sistemas
917,DUBERLYS,1,7/19/2023,3373888,duberlys@hotmail.co,Ingenieria química
918,CIELIBETH,15,10/4/2020,3013616,cielibeth@gmail.co,Matemáticas
919,HOLMEN,2,10/5/2019,3140762,holmen@gmail.com,Ingenieria química
920,KATRI,2,9/2/2022,3007003,katri@outlook.com,Ingeniería Industrial
921,BARLOVI,5,5/7/2022,3536992,barlovi@hotmail.com,Matemáticas
922,JAININY,15,5/11/2019,2648241,jaininy@hotmail.co,Matemáticas
923,EXYEYLI,2,3/19/2023,2610591,exyeyli@gmail.co,Administración de empresas
924,YADIVE,1,8/29/2018,3201378,yadive@gmail.com,Estadística
925,HERMANSOLI,1,4/25/2023,2937138,hermansoli@outlook.com,Ingeniería de sistemas
926,GERIMOTH,7,6/26/2016,3602155,gerimoth@outlook.co,Geología 
927,ASORIANY,5,8/22/2021,2851073,asoriany@hotmail.com,Matemáticas
928,STELLIS,14,3/22/2017,2672974,stellis@hotmail.co,Administración de empresas
929,ERNY,2,3/22/2023,3724336,erny@gmail.co,Ingeniería eléctrica
930,ULICIA,8,2/1/2021,2827220,ulicia@gmail.com,Ingenieria electrónica
931,DANLLY,5,8/4/2019,3442004,danlly@outlook.com,Ciencia política
932,DILIET,7,4/28/2016,3492797,diliet@outlook.co,Ingeniería eléctrica
933,AUDEL,6,4/3/2018,2767982,audel@hotmail.com,Geología 
934,MYDIAM,5,7/15/2019,2925029,mydiam@hotmail.co,Matemáticas
935,LYLLIANA,5,8/20/2020,2831868,lylliana@gmail.co,Ingenieria química
936,STIWENN,6,11/27/2020,3768556,stiwenn@gmail.com,Estadística
937,RAYD,8,11/2/2019,3263746,rayd@outlook.com,Ciencia política
938,BRILLETE,10,3/13/2017,3563728,brillete@outlook.co,Ingeniería eléctrica
939,RUSINDA,2,3/15/2018,3708818,rusinda@hotmail.com,Ingeniería eléctrica
940,DEVINZON,1,6/30/2020,3574446,devinzon@hotmail.co,Matemáticas
941,DILCELLY,1,9/11/2017,3088069,dilcelly@gmail.co,Matemáticas
942,VITALVINA,4,3/7/2017,2952840,vitalvina@gmail.com,Ingeniería de sistemas
943,PAY,2,7/2/2020,3418538,pay@outlook.com,Ingenieria química
944,RUMI,12,12/20/2016,3115039,rumi@hotmail.com,Ciencia política
945,GILDEVAN,15,7/20/2023,3565301,gildevan@hotmail.co,Geología 
946,JOILYM,2,8/4/2017,3724654,joilym@gmail.co,Ingenieria electrónica
947,WADDING,5,10/11/2016,3429268,wadding@gmail.com,Ingenieria electrónica
948,ELUDINA,15,4/9/2016,2803406,eludina@outlook.com,Ingenieria química
949,YERADINE,15,7/17/2019,3897775,yeradine@outlook.co,Ingenieria química
950,MILLENYS,7,9/22/2022,2592694,millenys@hotmail.com,Ingeniería de sistemas
951,NARVELLY,14,10/19/2020,3163691,narvelly@hotmail.co,Ingeniería Industrial
952,WONDERLY,14,10/18/2022,2791184,wonderly@gmail.co,Estadística
953,ESTARWIN,6,5/30/2023,3272437,estarwin@gmail.com,Geología 
954,NICHOLL,5,7/29/2023,3870429,nicholl@outlook.com,Ciencia política
955,SANTHIER,2,11/17/2021,3017752,santhier@outlook.co,Ingeniería Industrial
956,MAGDARIO,5,7/25/2022,3785559,magdario@hotmail.com,Ingeniería de sistemas
957,LUZMILAGRO,2,11/5/2016,2915312,luzmilagro@hotmail.co,Ingeniería de sistemas
958,HERIDALDO,2,4/5/2021,2820002,heridaldo@gmail.co,Ingenieria química
959,DERZU,5,5/10/2020,2823781,derzu@gmail.com,Ingeniería Industrial
960,OXIRIS,8,10/12/2016,2645698,oxiris@outlook.com,Ingeniería eléctrica
961,ALJURE,12,4/21/2022,2775122,aljure@outlook.co,Ingeniería de sistemas
962,DAYLLY,5,4/3/2023,3323861,daylly@hotmail.com,Geología 
963,ELINGER,4,4/4/2017,2812261,elinger@hotmail.co,Ingeniería eléctrica
964,BRAULIN,2,7/6/2017,2928351,braulin@gmail.co,Estadística
965,SORAMAY,5,null,2805220,soramay@gmail.com,Ciencia política
966,JANIOTH,4,12/23/2016,3614030,janioth@outlook.com,Estadística
967,BANIS,7,10/9/2021,2595787,banis@hotmail.com,Ingeniería Industrial
968,EMINABETH,1,2/24/2019,3133663,eminabeth@hotmail.co,Ingenieria electrónica
969,MARAYA,15,8/28/2019,3171474,maraya@gmail.co,Ingeniería eléctrica
970,MALVIRIS,1,4/20/2018,2706092,malviris@gmail.com,Ingenieria química
971,ALIEN,10,1/19/2018,3757526,alien@outlook.com,Geología 
972,EUARIS,8,4/4/2017,3816629,euaris@outlook.co,Ciencia política
973,DENEYSE,6,12/1/2020,3017154,deneyse@hotmail.com,Ingenieria química
974,GUAMPE,4,4/16/2022,3714974,guampe@hotmail.co,Matemáticas
975,LOLINYS,1,5/13/2023,3245916,lolinys@gmail.co,Estadística
976,SCARTH,1,2/21/2020,3089291,scarth@gmail.com,Administración de empresas
977,HUANELGER,12,11/29/2020,2959072,huanelger@outlook.com,Ingenieria química
978,IVANY,6,9/30/2018,3472286,ivany@outlook.co,Geología 
979,IVANIEL,5,4/15/2021,2636142,ivaniel@hotmail.com,Estadística
980,SATHYA,5,3/23/2017,2676676,sathya@hotmail.co,Ciencia política
981,MIRLEI,1,10/18/2019,29dfg632,mirlei@gmail.co,Ingenieria electrónica
982,YALIDIS,1,11/9/2020,2766968,yalidis@gmail.com,Ciencia política
983,HIOVANI,4,5/16/2016,3265112,hiovani@outlook.com,Ingenieria electrónica
984,ALLIAN,10,2/25/2017,3423472,allian@outlook.co,Estadística
985,EWLIDANNY,5,3/9/2017,3299478,ewlidanny@hotmail.com,Ingenieria electrónica
986,MESMY,5,3/13/2021,2782385,mesmy@hotmail.co,Matemáticas
987,VALETSKA,5,2/3/2017,2805193,valetska@gmail.co,Matemáticas
988,ENED,5,7/22/2016,2657098,ened@gmail.com,Ingenieria química
989,WUINDY,1,1/15/2018,3664435,wuindy@outlook.com,Estadística
990,GRIXI,4,9/5/2018,3649229,grixi@hotmail.com,Ingeniería eléctrica
991,SHIDHJMATNJ,8,4/27/2023,3560654,shidhjmatnj@hotmail.co,Ingeniería eléctrica
992,HEITHE,7,7/30/2023,3712236,heithe@gmail.co,Ingeniería de sistemas
993,YASMIDIS,1,8/15/2016,3022874,yasmidis@gmail.com,Ciencia política
994,DUGAR,10,3/11/2017,3127582,dugar@outlook.com,Estadística
995,JHEDSI,15,11/15/2019,null,jhedsi@outlook.co,Matemáticas
996,DEIFANY,8,8/31/2020,3490706,deifany@hotmail.com,Administración de empresas
997,LINKOL,5,3/8/2020,3822644,linkol@hotmail.co,Ingeniería de sistemas
998,KIMBERLIN,10,1/11/2020,3241453,kimberlin@gmail.co,Estadística
999,YALITZY,5,6/18/2023,3488070,yalitzy@gmail.com,Ingeniería Industrial
1000,GLEYVER,5,5/14/2017,2969078,gleyver@outlook.com,Geología 
